bin	score1	score2	delta
chr1:7199999-7300000	0.105679	0.463783	-0.358104
chr1:7299999-7400000	0.0678652	0.352957	-0.2850918
chr1:7399999-7500000	0.169146	0.42375	-0.25460400000000005
chr1:7599999-7700000	0.127706	0.482413	-0.354707
chr1:7699999-7800000	0.118297	0.464515	-0.346218
chr1:7799999-7900000	0.364521	0.517687	-0.15316600000000002
chr1:7899999-8000000	0.264436	0.348136	-0.0837
chr1:7999999-8100000	0.544735	0.50228	0.04245500000000002
chr1:8099999-8200000	0.589301	0.395775	0.19352599999999998
chr1:8199999-8300000	0.500514	0.403752	0.09676200000000001
chr1:8299999-8400000	0.548549	0.495468	0.053080999999999934
chr1:8599999-8700000	0.700396	0.437305	0.263091
chr1:8799999-8900000	0.697864	0.38686	0.31100400000000006
chr1:8899999-9000000	0.741735	0.460528	0.28120700000000004
chr1:9099999-9200000	0.725221	0.437902	0.287319
chr1:9199999-9300000	0.715082	0.561228	0.15385400000000005
chr1:9299999-9400000	0.665262	0.483319	0.18194300000000002
chr1:9399999-9500000	0.818491	0.53293	0.28556099999999995
chr1:9499999-9600000	0.74326	0.479354	0.26390600000000003
chr1:9599999-9700000	0.862479	0.52285	0.33962899999999996
chr1:9799999-9900000	0.723979	0.498166	0.22581300000000004
chr1:9899999-10000000	0.756784	0.466865	0.28991900000000004
chr1:9999999-10100000	0.701905	0.408589	0.293316
chr1:10099999-10200000	0.753325	0.475838	0.27748700000000004
chr1:10199999-10300000	0.762205	0.540692	0.22151300000000007
chr1:10299999-10400000	0.747703	0.543401	0.20430199999999998
chr1:10499999-10600000	0.723209	0.411129	0.31207999999999997
chr1:10699999-10800000	0.5848	0.647045	-0.062244999999999995
chr1:10799999-10900000	0.587963	0.516809	0.07115400000000005
chr1:10899999-11000000	0.646077	0.554548	0.09152899999999997
chr1:10999999-11100000	0.75188	0.614358	0.13752200000000003
chr1:11099999-11200000	0.735695	0.503058	0.23263699999999998
chr1:11199999-11300000	0.732304	0.623192	0.10911199999999999
chr1:11299999-11400000	0.760775	0.55512	0.20565500000000003
chr1:11499999-11600000	0.554039	0.519882	0.03415699999999999
chr1:11599999-11700000	0.557465	0.644982	-0.08751700000000007
chr1:11699999-11800000	0.648942	0.46597	0.18297200000000002
chr1:11799999-11900000	0.779931	0.559831	0.22010000000000007
chr1:11899999-12000000	0.710407	0.449302	0.26110500000000003
chr1:11999999-12100000	0.752076	0.460902	0.291174
chr1:12099999-12200000	0.642495	0.52044	0.12205500000000002
chr1:12199999-12300000	0.560183	0.533719	0.026463999999999932
chr1:12499999-12600000	0.236906	0.36531	-0.12840400000000002
chr1:12699999-12800000	0.160916	0.440766	-0.27985
chr1:12799999-12900000	0.0135274	0.518821	-0.5052936
chr1:12899999-13000000	0.285267	0.9999	-0.7146330000000001
chr1:13099999-13200000	0.286454	0.995663	-0.709209
chr1:13699999-13800000	0.287587	0.934881	-0.647294
chr1:13799999-13900000	-0.0860334	0.335961	-0.4219944
chr1:13899999-14000000	-0.0292311	0.310495	-0.33972610000000003
chr1:13999999-14100000	0.260317	0.425617	-0.1653
chr1:14299999-14400000	-0.0723389	0.327945	-0.40028389999999997
chr1:14399999-14500000	-0.149012	0.350135	-0.499147
chr1:14499999-14600000	-0.0761529	0.398258	-0.47441089999999997
chr1:14599999-14700000	-0.0570606	0.327055	-0.3841156
chr1:14699999-14800000	-0.0124792	0.390012	-0.40249120000000005
chr1:14799999-14900000	0.0902679	0.328964	-0.23869609999999997
chr1:14899999-15000000	0.0695982	0.382235	-0.3126368
chr1:14999999-15100000	0.0206892	0.332603	-0.31191379999999996
chr1:15199999-15300000	0.0521425	0.409064	-0.3569215
chr1:15299999-15400000	0.100437	0.511824	-0.41138699999999995
chr1:15399999-15500000	0.37446	0.515132	-0.14067200000000002
chr1:15499999-15600000	0.384397	0.504154	-0.119757
chr1:15599999-15700000	0.458674	0.468675	-0.010000999999999982
chr1:15699999-15800000	0.443406	0.470384	-0.026978000000000002
chr1:15799999-15900000	0.652891	0.521444	0.13144699999999998
chr1:15999999-16100000	0.686833	0.517665	0.16916799999999999
chr1:16199999-16300000	0.790426	0.543918	0.24650799999999995
chr1:16399999-16500000	0.645296	0.436952	0.20834399999999997
chr1:16599999-16700000	0.680353	0.601437	0.07891599999999999
chr1:16699999-16800000	0.628541	0.461344	0.16719700000000004
chr1:16899999-17000000	0.302388	0.312517	-0.010128999999999999
chr1:16999999-17100000	0.59032	0.703156	-0.11283600000000005
chr1:17199999-17300000	0.802582	0.757719	0.044862999999999986
chr1:17299999-17400000	0.612184	0.57067	0.04151399999999994
chr1:17399999-17500000	0.550269	0.581313	-0.03104399999999996
chr1:17599999-17700000	0.378025	0.595343	-0.21731799999999996
chr1:17699999-17800000	0.521123	0.43312	0.088003
chr1:17799999-17900000	0.480047	0.507405	-0.027357999999999993
chr1:17899999-18000000	0.440656	0.578949	-0.13829300000000005
chr1:17999999-18100000	0.317736	0.517571	-0.19983499999999998
chr1:18099999-18200000	0.304009	0.482678	-0.17866900000000002
chr1:18299999-18400000	0.230979	0.535309	-0.30433000000000004
chr1:18499999-18600000	0.270065	0.505176	-0.23511099999999996
chr1:18599999-18700000	0.332431	0.546464	-0.21403299999999997
chr1:18699999-18800000	0.289019	0.487974	-0.198955
chr1:18799999-18900000	0.27191	0.5686	-0.29669
chr1:18899999-19000000	0.302187	0.662649	-0.36046200000000006
chr1:18999999-19100000	0.386981	0.533438	-0.14645699999999995
chr1:19099999-19200000	0.364297	0.532383	-0.16808600000000007
chr1:19299999-19400000	0.668194	0.643498	0.02469599999999994
chr1:19399999-19500000	0.690784	0.610082	0.08070199999999994
chr1:19499999-19600000	0.638411	0.536486	0.10192499999999993
chr1:19599999-19700000	0.475677	0.542234	-0.06655699999999998
chr1:19699999-19800000	0.449641	0.451036	-0.0013949999999999796
chr1:19799999-19900000	0.488996	0.427135	0.061861
chr1:19899999-20000000	0.480303	0.483777	-0.0034740000000000326
chr1:19999999-20100000	0.434013	0.51785	-0.08383700000000005
chr1:20299999-20400000	0.394325	0.527871	-0.133546
chr1:20499999-20600000	0.428883	0.545708	-0.11682499999999996
chr1:20599999-20700000	0.373319	0.588538	-0.215219
chr1:20699999-20800000	0.441267	0.568343	-0.12707600000000002
chr1:20799999-20900000	0.388358	0.559591	-0.17123299999999997
chr1:20899999-21000000	0.628776	0.434181	0.19459500000000002
chr1:20999999-21100000	0.649707	0.576004	0.07370300000000007
chr1:21099999-21200000	0.672352	0.561891	0.11046099999999992
chr1:21299999-21400000	0.774146	0.524566	0.24958000000000002
chr1:21399999-21500000	0.718505	0.498261	0.22024399999999994
chr1:21499999-21600000	0.641341	0.529696	0.1116450000000001
chr1:21599999-21700000	0.672535	0.548234	0.124301
chr1:21699999-21800000	0.8039	0.764745	0.03915499999999994
chr1:21799999-21900000	0.645867	0.669697	-0.023830000000000018
chr1:22099999-22200000	0.838305	0.571204	0.2671009999999999
chr1:22199999-22300000	0.777608	0.600091	0.17751699999999992
chr1:22299999-22400000	0.76076	0.659093	0.10166699999999995
chr1:22399999-22500000	0.720675	0.543648	0.17702699999999993
chr1:22499999-22600000	0.483932	0.602237	-0.11830500000000005
chr1:22599999-22700000	0.493164	0.555285	-0.06212100000000004
chr1:22699999-22800000	0.510839	0.610429	-0.09958999999999996
chr1:22799999-22900000	0.591172	0.656623	-0.06545099999999993
chr1:22999999-23100000	0.510568	0.635594	-0.12502599999999997
chr1:23099999-23200000	0.514069	0.620932	-0.10686300000000004
chr1:23199999-23300000	0.547273	0.509765	0.037507999999999986
chr1:23299999-23400000	0.793998	0.629838	0.16415999999999997
chr1:23399999-23500000	0.758726	0.487874	0.27085200000000004
chr1:23499999-23600000	0.684895	0.480362	0.20453300000000002
chr1:23599999-23700000	0.807118	0.617986	0.18913199999999997
chr1:23799999-23900000	0.779038	0.424124	0.354914
chr1:23999999-24100000	0.758892	0.614892	0.14400000000000002
chr1:24199999-24300000	0.943141	0.808961	0.13417999999999997
chr1:24399999-24500000	0.448624	0.567259	-0.11863499999999993
chr1:24499999-24600000	0.63691	0.537333	0.09957700000000003
chr1:24599999-24700000	0.547803	0.565443	-0.01763999999999999
chr1:24699999-24800000	0.487511	0.49539	-0.00787899999999997
chr1:24799999-24900000	0.49106	0.536523	-0.045462999999999976
chr1:24899999-25000000	0.527146	0.631814	-0.10466799999999998
chr1:24999999-25100000	0.681617	0.433144	0.24847300000000005
chr1:25199999-25300000	0.29107	0.620138	-0.32906799999999997
chr1:25299999-25400000	0.583092	0.679795	-0.09670299999999998
chr1:25399999-25500000	0.501471	0.555176	-0.053705
chr1:25499999-25600000	0.621408	0.524674	0.09673399999999999
chr1:25599999-25700000	0.965842	0.936065	0.029776999999999942
chr1:25699999-25800000	0.9999	0.756858	0.24304199999999998
chr1:25999999-26100000	0.696426	0.520184	0.176242
chr1:26099999-26200000	0.698108	0.561006	0.13710199999999995
chr1:26199999-26300000	0.775174	0.479222	0.29595200000000005
chr1:26299999-26400000	0.78809	0.470385	0.31770499999999996
chr1:26399999-26500000	0.690218	0.544347	0.14587099999999997
chr1:26499999-26600000	0.718809	0.566157	0.152652
chr1:26599999-26700000	0.822033	0.568001	0.25403200000000004
chr1:26699999-26800000	0.816106	0.474872	0.341234
chr1:26899999-27000000	0.9999	0.565769	0.43413100000000004
chr1:26999999-27100000	0.753348	0.540637	0.21271099999999998
chr1:27099999-27200000	0.806084	0.494316	0.31176800000000005
chr1:27199999-27300000	0.685971	0.447451	0.23852
chr1:27299999-27400000	0.724417	0.54478	0.17963699999999994
chr1:27399999-27500000	0.7609	0.509662	0.2512380000000001
chr1:27499999-27600000	0.776159	0.562579	0.21358
chr1:27699999-27800000	0.741169	0.523032	0.21813699999999991
chr1:27899999-28000000	0.83743	0.571817	0.265613
chr1:28099999-28200000	0.818859	0.48623	0.332629
chr1:28199999-28300000	0.751529	0.383199	0.36833
chr1:28299999-28400000	0.862365	0.545135	0.31723
chr1:28399999-28500000	0.780487	0.387511	0.39297600000000005
chr1:28499999-28600000	0.730252	0.450884	0.279368
chr1:28599999-28700000	0.679482	0.440495	0.238987
chr1:28799999-28900000	0.748107	0.445283	0.302824
chr1:28899999-29000000	0.776075	0.447523	0.32855199999999996
chr1:28999999-29100000	0.677848	0.515099	0.16274900000000003
chr1:29099999-29200000	0.531992	0.464662	0.06733
chr1:29199999-29300000	0.623522	0.357904	0.265618
chr1:29299999-29400000	0.704661	0.528043	0.17661799999999994
chr1:29399999-29500000	0.492398	0.421755	0.07064300000000001
chr1:29499999-29600000	0.522041	0.446424	0.07561699999999999
chr1:29799999-29900000	0.326055	0.500475	-0.17442000000000002
chr1:29999999-30100000	0.374946	0.512951	-0.13800500000000004
chr1:30099999-30200000	0.313404	0.337008	-0.02360399999999996
chr1:30199999-30300000	0.286775	0.481969	-0.19519399999999998
chr1:30299999-30400000	0.281159	0.440563	-0.159404
chr1:30399999-30500000	0.242802	0.430533	-0.187731
chr1:30599999-30700000	0.269498	0.461808	-0.19230999999999998
chr1:30699999-30800000	0.193629	0.379193	-0.185564
chr1:30799999-30900000	0.242512	0.516526	-0.27401400000000004
chr1:30899999-31000000	0.181179	0.476944	-0.29576499999999994
chr1:30999999-31100000	0.212317	0.378125	-0.16580799999999998
chr1:31099999-31200000	0.427002	0.498123	-0.07112099999999999
chr1:31199999-31300000	0.70099	0.360644	0.340346
chr1:31399999-31500000	0.808919	0.451028	0.35789100000000007
chr1:31599999-31700000	0.517412	0.406375	0.111037
chr1:31699999-31800000	0.549664	0.490922	0.058742000000000016
chr1:31999999-32100000	0.748807	0.537782	0.21102500000000002
chr1:32199999-32300000	0.731722	0.599746	0.13197599999999998
chr1:32299999-32400000	0.805896	0.478416	0.32747999999999994
chr1:32499999-32600000	0.776052	0.442099	0.33395299999999994
chr1:32599999-32700000	0.85876	0.4607	0.39805999999999997
chr1:32699999-32800000	0.720898	0.39342	0.32747800000000005
chr1:32799999-32900000	0.739907	0.502321	0.23758599999999996
chr1:32899999-33000000	0.723036	0.494871	0.228165
chr1:32999999-33100000	0.557946	0.402111	0.15583500000000006
chr1:33199999-33300000	0.719099	0.459336	0.259763
chr1:33299999-33400000	0.706811	0.413406	0.29340499999999997
chr1:33399999-33500000	0.71745	0.349927	0.36752300000000004
chr1:33499999-33600000	0.642846	0.38499	0.25785600000000003
chr1:33599999-33700000	0.524827	0.375326	0.14950100000000005
chr1:33699999-33800000	0.467163	0.33187	0.135293
chr1:33899999-34000000	0.376156	0.299893	0.07626299999999997
chr1:34099999-34200000	0.0887767	0.207626	-0.1188493
chr1:34199999-34300000	0.0805548	0.137795	-0.057240200000000005
chr1:34299999-34400000	0.0646797	0.177462	-0.1127823
chr1:34399999-34500000	0.053451	0.109589	-0.05613800000000001
chr1:34499999-34600000	0.0645071	0.289572	-0.2250649
chr1:34599999-34700000	0.0118606	0.169605	-0.1577444
chr1:34699999-34800000	0.160545	0.195782	-0.03523700000000002
chr1:34899999-35000000	0.107902	0.203866	-0.095964
chr1:34999999-35100000	0.233086	0.140699	0.092387
chr1:35099999-35200000	0.104568	0.188791	-0.08422299999999999
chr1:35199999-35300000	0.213961	0.332924	-0.11896299999999999
chr1:35299999-35400000	0.422832	0.2959	0.126932
chr1:35399999-35500000	0.570652	0.530686	0.03996600000000006
chr1:35499999-35600000	0.560085	0.343839	0.21624600000000005
chr1:35599999-35700000	0.578549	0.483366	0.09518299999999996
chr1:35899999-36000000	0.673596	0.413651	0.259945
chr1:36099999-36200000	0.599227	0.365037	0.23418999999999995
chr1:36199999-36300000	0.671314	0.456722	0.21459199999999995
chr1:36299999-36400000	0.713608	0.405581	0.308027
chr1:36399999-36500000	0.688213	0.426805	0.261408
chr1:36499999-36600000	0.767081	0.476456	0.290625
chr1:36599999-36700000	0.741023	0.459698	0.281325
chr1:36699999-36800000	0.721557	0.408341	0.313216
chr1:36899999-37000000	0.443438	0.395677	0.047761
chr1:36999999-37100000	0.426455	0.507731	-0.08127600000000007
chr1:37099999-37200000	0.385013	0.40765	-0.022637000000000018
chr1:37199999-37300000	0.254515	0.44013	-0.18561500000000003
chr1:37299999-37400000	0.295231	0.375576	-0.080345
chr1:37399999-37500000	0.304175	0.409566	-0.10539100000000001
chr1:37699999-37800000	0.38686	0.428726	-0.041866000000000014
chr1:37799999-37900000	0.358526	0.405268	-0.046742000000000006
chr1:37899999-38000000	0.629579	0.381598	0.247981
chr1:37999999-38100000	0.599526	0.385871	0.21365499999999998
chr1:38099999-38200000	0.665168	0.450099	0.21506899999999995
chr1:38199999-38300000	0.59645	0.464477	0.13197300000000006
chr1:38299999-38400000	0.75216	0.458727	0.29343300000000005
chr1:38399999-38500000	0.744508	0.443815	0.30069299999999993
chr1:38599999-38700000	0.481847	0.331587	0.15026
chr1:38699999-38800000	0.482129	0.33881	0.14331899999999997
chr1:38799999-38900000	0.427432	0.409893	0.01753899999999997
chr1:38899999-39000000	0.603086	0.470918	0.132168
chr1:38999999-39100000	0.544425	0.457912	0.08651300000000006
chr1:39099999-39200000	0.428297	0.472598	-0.044301000000000035
chr1:39199999-39300000	0.4435	0.377871	0.06562899999999999
chr1:39399999-39500000	0.620865	0.384785	0.23608
chr1:39599999-39700000	0.656118	0.341697	0.314421
chr1:39799999-39900000	0.70038	0.42915	0.27123
chr1:39999999-40100000	0.748071	0.497206	0.25086500000000006
chr1:40099999-40200000	0.75786	0.438996	0.318864
chr1:40199999-40300000	0.83767	0.552832	0.28483800000000004
chr1:40299999-40400000	0.69143	0.416872	0.27455799999999997
chr1:40399999-40500000	0.69363	0.444843	0.24878699999999998
chr1:40499999-40600000	0.751228	0.40648	0.344748
chr1:40599999-40700000	0.787257	0.427285	0.35997199999999996
chr1:40799999-40900000	0.762965	0.371821	0.391144
chr1:40899999-41000000	0.669775	0.290576	0.379199
chr1:40999999-41100000	0.638888	0.461666	0.177222
chr1:41099999-41200000	0.635495	0.300055	0.33544
chr1:41199999-41300000	0.585641	0.350913	0.234728
chr1:41299999-41400000	0.497009	0.280696	0.21631299999999998
chr1:41599999-41700000	0.402216	0.279556	0.12265999999999999
chr1:41699999-41800000	0.370927	0.335008	0.035919000000000034
chr1:41799999-41900000	0.366735	0.363962	0.00277299999999997
chr1:41899999-42000000	0.328785	0.382368	-0.05358299999999999
chr1:41999999-42100000	0.272521	0.230946	0.041575
chr1:42099999-42200000	0.353597	0.297786	0.055811
chr1:42199999-42300000	0.363578	0.289956	0.07362200000000002
chr1:42299999-42400000	0.447928	0.268079	0.17984899999999998
chr1:42499999-42600000	0.384397	0.299971	0.084426
chr1:42599999-42700000	0.394673	0.27733	0.11734299999999998
chr1:42699999-42800000	0.47285	0.310341	0.16250900000000001
chr1:42799999-42900000	0.392359	0.2849	0.10745900000000003
chr1:42899999-43000000	0.433694	0.298118	0.13557600000000003
chr1:42999999-43100000	0.481685	0.298958	0.18272699999999997
chr1:43099999-43200000	0.545555	0.306779	0.238776
chr1:43299999-43400000	0.551986	0.350774	0.201212
chr1:43499999-43600000	0.549641	0.445274	0.10436700000000004
chr1:43699999-43800000	0.599971	0.361696	0.23827500000000001
chr1:43799999-43900000	0.592276	0.36136	0.230916
chr1:43899999-44000000	0.568262	0.407499	0.16076300000000004
chr1:43999999-44100000	0.575791	0.399476	0.17631500000000006
chr1:44099999-44200000	0.656113	0.413422	0.24269099999999993
chr1:44199999-44300000	0.612666	0.380284	0.23238200000000003
chr1:44399999-44500000	0.596664	0.363264	0.2334
chr1:44499999-44600000	0.449707	0.333271	0.11643600000000004
chr1:44599999-44700000	0.418474	0.30885	0.109624
chr1:44699999-44800000	0.406031	0.308605	0.09742599999999996
chr1:44799999-44900000	0.41676	0.417951	-0.0011909999999999976
chr1:44899999-45000000	0.313299	0.268963	0.04433599999999999
chr1:44999999-45100000	0.448545	0.350565	0.09798000000000001
chr1:45099999-45200000	0.56172	0.343986	0.21773399999999998
chr1:45399999-45500000	0.608695	0.27406	0.33463499999999996
chr1:45499999-45600000	0.516191	0.381302	0.13488899999999998
chr1:45599999-45700000	0.374509	0.334429	0.040080000000000005
chr1:45699999-45800000	0.475875	0.379058	0.09681699999999999
chr1:45799999-45900000	0.531411	0.300972	0.23043899999999995
chr1:45899999-46000000	0.5176	0.254743	0.26285699999999995
chr1:45999999-46100000	0.562812	0.34927	0.21354199999999995
chr1:46199999-46300000	0.585326	0.200641	0.384685
chr1:46299999-46400000	0.610007	0.340244	0.269763
chr1:46399999-46500000	0.468641	0.245445	0.22319599999999998
chr1:46499999-46600000	0.629165	0.326254	0.302911
chr1:46599999-46700000	0.497508	0.223848	0.27366
chr1:46699999-46800000	0.441269	0.23025	0.211019
chr1:46799999-46900000	0.28691	0.195807	0.09110299999999999
chr1:46999999-47100000	0.24247	0.0967706	0.14569939999999998
chr1:47199999-47300000	-0.095748	0.00881338	-0.10456138
chr1:47299999-47400000	-0.151147	0.0899215	-0.24106850000000002
chr1:47599999-47700000	-0.0556624	0.0304534	-0.08611579999999999
chr1:47799999-47900000	0.136691	-0.0071936	0.1438846
chr1:47899999-48000000	-0.101299	-0.0482509	-0.0530481
chr1:47999999-48100000	-0.207985	-0.0526866	-0.1552984
chr1:48099999-48200000	-0.205863	-0.0861663	-0.11969669999999999
chr1:48199999-48300000	-0.196623	-0.0973805	-0.0992425
chr1:48299999-48400000	-0.283255	-0.145657	-0.13759799999999997
chr1:48399999-48500000	-0.322262	-0.232765	-0.089497
chr1:48599999-48700000	-0.436947	-0.331121	-0.10582599999999998
chr1:48699999-48800000	-0.4811	-0.47883	-0.0022700000000000498
chr1:48799999-48900000	-0.539492	-0.467612	-0.07187999999999994
chr1:48899999-49000000	-0.484298	-0.445874	-0.038424000000000014
chr1:48999999-49100000	-0.421127	-0.312842	-0.10828499999999996
chr1:49099999-49200000	-0.389712	-0.305647	-0.084065
chr1:49399999-49500000	-0.651005	-0.433635	-0.21736999999999995
chr1:49499999-49600000	-0.664827	-0.511653	-0.15317399999999992
chr1:49599999-49700000	-0.662487	-0.493176	-0.16931100000000004
chr1:49699999-49800000	-0.743887	-0.5549	-0.18898700000000002
chr1:49799999-49900000	-0.67792	-0.485678	-0.19224199999999997
chr1:49899999-50000000	-0.712641	-0.534033	-0.178608
chr1:49999999-50100000	-0.738241	-0.484317	-0.25392400000000004
chr1:50099999-50200000	-0.672134	-0.508896	-0.163238
chr1:50299999-50400000	-0.739449	-0.48923	-0.250219
chr1:50399999-50500000	-0.708151	-0.463328	-0.24482299999999996
chr1:50499999-50600000	-0.502065	-0.443638	-0.05842700000000001
chr1:50599999-50700000	-0.5125	-0.395698	-0.11680199999999996
chr1:50699999-50800000	-0.429785	-0.283044	-0.14674099999999995
chr1:50799999-50900000	-0.338572	-0.227628	-0.11094399999999999
chr1:50899999-51000000	-0.206145	-0.113456	-0.092689
chr1:51099999-51200000	-0.0854473	-0.0554343	-0.030013000000000005
chr1:51299999-51400000	-0.021444	-0.055125	0.033681
chr1:51499999-51600000	-0.146792	-0.0732742	-0.07351780000000001
chr1:51599999-51700000	0.0186292	-0.0428025	0.0614317
chr1:51699999-51800000	0.176443	0.0425069	0.1339361
chr1:51799999-51900000	0.239311	0.0794387	0.1598723
chr1:51899999-52000000	0.404597	0.0986079	0.3059891
chr1:51999999-52100000	0.306431	0.0736491	0.2327819
chr1:52199999-52300000	0.41521	0.156553	0.258657
chr1:52299999-52400000	0.41484	0.158292	0.256548
chr1:52399999-52500000	0.404258	0.136002	0.268256
chr1:52499999-52600000	0.411913	0.188038	0.22387499999999996
chr1:52599999-52700000	0.384373	0.200233	0.18414000000000003
chr1:52699999-52800000	0.358716	0.243549	0.11516699999999999
chr1:52799999-52900000	0.494377	0.209154	0.285223
chr1:52899999-53000000	0.515212	0.211576	0.303636
chr1:53199999-53300000	0.454759	0.242737	0.21202200000000002
chr1:53299999-53400000	0.467965	0.233466	0.234499
chr1:53399999-53500000	0.430174	0.244601	0.185573
chr1:53499999-53600000	0.361492	0.273558	0.08793399999999996
chr1:53599999-53700000	0.40664	0.216853	0.189787
chr1:53699999-53800000	0.394474	0.206613	0.187861
chr1:53799999-53900000	0.332431	0.14164	0.190791
chr1:53999999-54100000	0.192444	0.166732	0.025712000000000013
chr1:54099999-54200000	0.236438	0.207285	0.029153000000000012
chr1:54199999-54300000	0.428255	0.166361	0.26189399999999996
chr1:54299999-54400000	0.475266	0.159555	0.315711
chr1:54399999-54500000	0.421729	0.110043	0.311686
chr1:54499999-54600000	0.344313	0.191959	0.152354
chr1:54599999-54700000	0.309924	0.0833459	0.22657809999999998
chr1:54799999-54900000	0.334295	0.106554	0.22774100000000003
chr1:54999999-55100000	0.264245	0.114012	0.150233
chr1:55099999-55200000	0.3438	0.121742	0.22205799999999998
chr1:55399999-55500000	0.220387	0.086678	0.133709
chr1:55499999-55600000	0.238391	-0.058272	0.296663
chr1:55599999-55700000	0.285071	-0.0991697	0.3842407
chr1:55699999-55800000	-0.0217813	-0.187581	0.1657997
chr1:55799999-55900000	-0.192988	-0.291487	0.098499
chr1:55899999-56000000	-0.373054	-0.382452	0.009398000000000017
chr1:56099999-56200000	-0.314547	-0.575568	0.26102099999999995
chr1:56199999-56300000	-0.381732	-0.593584	0.21185199999999998
chr1:56299999-56400000	-0.296566	-0.577934	0.28136799999999995
chr1:56399999-56500000	-0.119809	-0.642085	0.522276
chr1:56499999-56600000	0.0226149	-0.64623	0.6688449
chr1:56599999-56700000	0.0851877	-0.5694	0.6545877
chr1:56699999-56800000	0.0280311	-0.585155	0.6131861
chr1:56799999-56900000	0.0616667	-0.406064	0.4677307
chr1:57099999-57200000	-0.364024	-0.517314	0.15329000000000004
chr1:57199999-57300000	-0.256011	-0.410337	0.15432600000000002
chr1:57299999-57400000	-0.34507	-0.312199	-0.032870999999999984
chr1:57399999-57500000	-0.401193	-0.38452	-0.01667300000000005
chr1:57499999-57600000	-0.365554	-0.337796	-0.027758000000000005
chr1:57599999-57700000	-0.203516	-0.266366	0.06284999999999999
chr1:57699999-57800000	-0.456768	-0.283719	-0.173049
chr1:57899999-58000000	-0.612153	-0.421645	-0.19050799999999996
chr1:57999999-58100000	-0.424576	-0.426108	0.0015319999999999778
chr1:58099999-58200000	-0.38825	-0.486583	0.098333
chr1:58199999-58300000	-0.41656	-0.414314	-0.0022459999999999702
chr1:58299999-58400000	-0.383619	-0.436073	0.052454
chr1:58399999-58500000	-0.32566	-0.399907	0.07424700000000001
chr1:58499999-58600000	-0.200168	-0.386212	0.186044
chr1:58699999-58800000	-0.411921	-0.337364	-0.07455699999999998
chr1:58899999-59000000	-0.163704	-0.192052	0.028348000000000012
chr1:58999999-59100000	0.0713079	-0.109591	0.18089889999999997
chr1:59199999-59300000	0.151383	0.00123266	0.15015034
